Título,Autor,Avaliação do Usuário,Avaliações,Preço,Ano,Gênero,Preço_convertido
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8.0,2012,Ficção,$ 8.00
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622,30.0,2016,Ficção,$ 30.00
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8.0,2011,Não Ficção,$ 8.00
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5.0,2013,Ficção,$ 5.00
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5.0,2017,Ficção,$ 5.00
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8.0,2019,Ficção,$ 8.00
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,11881,13.0,2018,Ficção,$ 13.00
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052,22.0,2016,Ficção,$ 22.00
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8.0,2019,Ficção,$ 8.00
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6.0,2019,Ficção,$ 6.00
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8.0,2019,Ficção,$ 8.00
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10.0,2016,Ficção,$ 10.00
The Magnolia Story,Chip Gaines,4.9,7861,5.0,2016,Não Ficção,$ 5.00
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18.0,2019,Ficção,$ 18.00
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4.0,2018,Ficção,$ 4.00
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,7150,12.0,2013,Ficção,$ 12.00
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,7.0,2012,Ficção,$ 7.00
Unfreedom of the Press,Mark R. Levin,4.9,5956,11.0,2019,Não Ficção,$ 11.00
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,54.0,2016,Não Ficção,$ 54.00
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,5470,6.0,2018,Ficção,$ 6.00
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20.0,2013,Ficção,$ 20.00
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,5062,6.0,2018,Ficção,$ 6.00
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,4.9,4786,8.0,2017,Ficção,$ 8.00
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12.0,2014,Ficção,$ 12.00
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22.0,2017,Não Ficção,$ 22.00
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146,30.0,2017,Ficção,$ 30.00
Humans of New York : Stories,Brandon Stanton,4.9,2812,17.0,2015,Não Ficção,$ 17.00
Little Blue Truck,Alice Schertle,4.9,1884,0.0,2014,Ficção,$ 0.00
Where the Crawdads Sing,Delia Owens,4.8,87841,15.0,2019,Ficção,$ 15.00
Becoming,Michelle Obama,4.8,61133,11.0,2018,Não Ficção,$ 11.00
